item,id,name,artist,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
64,6ODAghAlMTyu9fWa2CNKmf,I Want To Thank You,Alicia Myers,0.782,0.433,11,0,-12.571,0.0615,0.0311,0.00244,0.111,0.757,111.705,229627
65,3FlOciKDqFlTMPeC7t92Qy,She Works Hard For The Money,Donna Summer,0.758,0.638,8,0,-13.01,0.0378,0.00486,0.0141,0.0938,0.984,136.502,320840
66,60kYnvU89eL92jJ3eQcPXq,If Only You Knew,Patti LaBelle,0.555,0.272,4,1,-14.986,0.0411,0.853,0.00156,0.0748,0.169,133.159,285333
67,5ReLn6xM8EtJkIFpv3tfmE,Love's Train,Con Funk Shun,0.726,0.334,6,0,-14.561,0.0339,0.207,2.02e-05,0.078,0.713,141.149,317267
68,3ApIYu95WxjzpQCnsLBbrv,Between the Sheets,The Isley Brothers,0.719,0.377,9,0,-12.585,0.0974,0.661,0.0,0.0902,0.575,83.919,340013
69,5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson,0.92,0.654,11,0,-3.051,0.0401,0.0236,0.0153,0.036,0.847,117.046,293827
70,09UeSB8eRi7Pysvgoo62oB,All Night Long,Mary Jane Girls,0.779,0.475,7,1,-9.309,0.242,0.168,0.024,0.0717,0.691,94.999,348293
71,3aHqs6SCMoNQ1GtPCG6mwP,Candy Girl,New Edition,0.786,0.859,10,0,-7.225,0.164,0.333,0.0183,0.325,0.736,103.7,238640
72,2FtmoFvYo1zBsoxqchpzJC,Got to Be There,Chaka Khan,0.315,0.484,8,1,-10.83,0.0285,0.272,3.04e-06,0.0862,0.364,171.156,230627
73,223kK8LVBwzkk3Ck7Ua0Sk,Juicy Fruit,Mtume,0.747,0.573,4,1,-6.474,0.368,0.135,0.0114,0.0811,0.722,192.763,352533
74,5ZxfwWQOd4rn6kOyWd4QZ6,Just Be Good To Me (Live),The S.O.S Band,0.636,0.939,2,1,-4.835,0.0498,0.000625,0.000821,0.956,0.48,103.007,519667
75,6b9hm8mvZ2KH7Fl7LLA5ct,Let the Music Play,Shannon,0.709,0.687,10,0,-10.462,0.0519,0.000893,0.000151,0.092,0.765,114.717,214379
76,48ifRcXHbUjc1moUjJcwhx,Encore,Cheryl Lynn,0.703,0.84,1,1,-9.805,0.0485,0.0333,0.000396,0.997,0.88,108.763,319760
77,1OOtq8tRnDM8kG2gqUPjAj,Beat It,Michael Jackson,0.776,0.867,3,0,-3.704,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,258040
78,2Wb9ejnmy27DUTUe9YF5Ew,All Night Long (All Night) - Single Version,Lionel Richie,0.739,0.576,1,1,-12.024,0.0472,0.122,0.00206,0.0482,0.78,108.81,260427
79,4q2lRiodoQnyFO65watkse,True,Spandau Ballet,0.738,0.528,0,1,-9.746,0.0281,0.307,0.223,0.0733,0.415,97.39,365160
80,2NVpYQqdraEcQwqT7GhUkh,Ain't Nobody,Chaka Khan,0.8,0.878,1,1,-7.109,0.0434,0.189,0.000104,0.14,0.816,104.282,280853
81,4cVHMHgmWgudD399ZdhQ3L,Let's Dance - 2002 Remaster,David Bowie,0.654,0.641,8,1,-9.771,0.0482,0.00535,0.00321,0.209,0.794,114.696,247600
82,2kulOHR2XY6YDZCWXb38hn,Wanna Be Startin' Somethin',Michael Jackson,0.847,0.922,6,0,-4.206,0.0438,0.0217,0.362,0.0623,0.899,122.195,362373
83,3ibAzRj9JnowdoLkyllk3n,Holiday,Madonna,0.813,0.699,7,1,-8.656,0.0458,0.0251,0.0135,0.0527,0.732,117.548,231560
84,58IloK3hwfSjYGIt09Rbmy,You're Number One (In My Book),Gladys Knight & The Pips,0.607,0.406,4,1,-11.777,0.0315,0.0805,0.00486,0.104,0.523,76.63,311200
85,4cgjA7B4fJBHyB9Ya2bu0t,Human Nature,Michael Jackson,0.628,0.409,2,1,-14.348,0.0306,0.498,0.00565,0.29,0.755,93.005,246040
86,3tqlCrKwfxcc9SzXnnjRcF,My First Love,Rene & Angela,0.405,0.331,11,0,-11.705,0.039,0.166,0.0,0.209,0.221,62.885,278867
87,2R75DGyaaHBAAAJodxBlUf,I Found Lovin',Fatback Band,0.718,0.587,6,0,-9.435,0.038,0.000211,0.0396,0.177,0.423,105.434,250507
88,2A3qvK5Ip8JQGtDs94geeV,No More Tears,Anita Baker,0.473,0.566,10,1,-7.853,0.0463,0.486,7.96e-05,0.287,0.487,138.272,335467
89,7iMDtQVTT4gxlX12SHkzdq,Treat Her Like A Lady,The Temptations,0.773,0.788,0,1,-12.061,0.0461,0.094,1.87e-05,0.215,0.924,113.166,281893
90,54X78diSLoUDI3joC2bjMz,Purple Rain,Prince,0.367,0.452,10,1,-10.422,0.0307,0.0353,0.00228,0.689,0.189,113.066,520787
91,0t1MdYckZOtGVykowa6d95,"Love, Need and Want You",Patti LaBelle,0.601,0.443,4,1,-10.308,0.0451,0.814,2.98e-05,0.391,0.558,150.873,298120
92,5WDLRQ3VCdVrKw0njWe5E5,Careless Whisper,George Michael,0.575,0.643,2,0,-8.854,0.0331,0.136,1.65e-06,0.249,0.789,152.854,300107
93,4kOfxxnW1ukZdsNbCKY9br,What's Love Got to Do with It,Tina Turner,0.851,0.406,1,1,-11.631,0.0661,0.219,6.41e-06,0.0853,0.792,97.84,226880
94,1ot6jEe4w4hYnsOPjd3xKQ,I'm So Excited,The Pointer Sisters,0.59,0.868,5,0,-5.832,0.048,0.0962,0.000322,0.442,0.798,184.348,230640
95,5yR9u8QiOt8hJaddv32oo7,I Feel for You,Chaka Khan,0.698,0.912,11,1,-8.993,0.0675,0.0145,0.0225,0.279,0.797,124.917,343400
96,6HMvJcdw6qLsyV1b5x29sa,Hello,Lionel Richie,0.424,0.222,9,0,-15.053,0.0391,0.646,0.0,0.148,0.0606,61.648,246933
97,7jwQlYGpOml9ETGre1HqGA,Somebody's Watching Me,Rockwell,0.82,0.357,1,0,-13.585,0.0437,0.0371,0.00452,0.0541,0.765,124.117,298867
98,4DiNls6kFmF1ZittKsPsTc,Mr. Telephone Man,New Edition,0.727,0.45,2,1,-13.32,0.0291,0.127,0.0,0.0544,0.895,94.039,239160
99,3GiSgsFwPp8zY7yTGsRlyR,Don't Look Any Further,Dennis Edwards,0.749,0.698,9,0,-7.774,0.0486,0.0509,0.0178,0.116,0.768,95.38,242213
100,7EejjSh1WDrm81z0u3Fhmk,I Didn't Mean To Turn You On,Cherrelle,0.771,0.824,9,1,-10.088,0.057,0.0629,0.0318,0.787,0.746,120.247,423000
101,1Hv1VTm8zeOeybub15mA2R,Smooth Operator - Single Version,Sade,0.734,0.58,9,0,-6.619,0.0321,0.238,0.0006,0.0298,0.962,119.336,258693
102,5hXEcqQhEjfZdbIZLO8mf2,Everything She Wants,Wham!,0.899,0.459,6,0,-15.557,0.0366,0.322,0.00406,0.165,0.962,115.09,302693
103,179SfVFJ0ZN41toTxnpgRD,The Glamorous Life,Sheila E.,0.759,0.675,3,0,-14.366,0.0422,0.0261,0.0341,0.431,0.866,127.522,543560
104,3CPZShCxQb1rq5kv0sz1WG,Bounce Rock Skate Roll - Part 1 - 12 Version,Vaughan Mason and Crew,0.757,0.529,11,0,-8.55,0.0494,0.0407,0.0052,0.0393,0.573,110.642,457307
105,7LoGfKBAaOl0nxhodJ1240,Word Up,Cameo,0.878,0.84,6,0,-13.105,0.064,0.0421,0.0035,0.053,0.882,116.222,260000
106,4sr4NdrPfds9Qfors9UkiO,Solid,Ashford & Simpson,0.814,0.474,0,1,-12.017,0.0309,0.27,8.16e-06,0.599,0.956,101.241,312000
107,0QUpBXTOdB4JJyTGFN6dH1,Jungle Love,The Time,0.761,0.641,8,0,-13.466,0.0445,0.0713,0.0269,0.483,0.822,119.61,333360
108,7jeo9DOQSM6FogetF9vSkE,Show Me,Glenn Jones,0.683,0.467,1,0,-10.694,0.034,0.2,0.0,0.126,0.67,84.285,238773
109,64Qr40PagVTJhUHQyHYbB4,Love Me In A Special Way,DeBarge,0.491,0.314,0,1,-14.144,0.0336,0.644,0.0,0.0916,0.192,125.685,255493
110,35Z9SYT8AjvgvUag0H4iQt,Gotta Get You Home Tonight,Eugene Wilde,0.623,0.633,0,1,-6.768,0.0563,0.277,0.0,0.0384,0.575,93.116,314104
111,1ZPlNanZsJSPK5h9YZZFbZ,Like a Virgin,Madonna,0.771,0.655,3,0,-10.842,0.0372,0.152,0.00197,0.0685,0.97,119.747,218627
112,4JEylZNW8SbO4zUyfVrpb7,Caribbean Queen (No More Love On the Run),Billy Ocean,0.79,0.649,5,1,-7.507,0.0265,0.166,8.87e-05,0.092,0.954,113.798,244427
113,2mLaHqXZIxyoX0EE1I0pMT,Holding Back The Years,Simply Red,0.698,0.499,10,0,-7.878,0.0252,0.651,5.29e-06,0.204,0.644,87.159,252293
114,5yGTQzYbEdY6B9RFZJypgt,Rhythm Of The Night,DeBarge,0.707,0.759,11,0,-12.328,0.046,0.0769,2.84e-05,0.0775,0.955,115.142,229107
115,1lx8ddGT5wCD6W2xmLeRKG,Saving All My Love for You,Whitney Houston,0.636,0.264,6,0,-14.567,0.0263,0.593,4.22e-05,0.275,0.264,99.304,238467
116,5MPxgVGxq79wcoNKtlRaTf,You Are My Lady,Freddie Jackson,0.7,0.254,10,1,-16.019,0.0429,0.46,0.0,0.1,0.408,91.437,284119
117,6D527hFJzl1vWSzosEbyQk,Tender Love,Force M.D.'s,0.34,0.336,8,1,-7.289,0.0289,0.769,7.82e-05,0.126,0.0925,142.676,234053
118,2SPNs07BKygbkbf48KNFEQ,I'll Be Good,Rene & Angela,0.815,0.646,10,1,-9.784,0.0546,0.118,4.8e-05,0.0733,0.757,108.392,321067
119,7pzkpCkXfU99i4Bm5KG0oM,Rock Me Tonight For Old Times Sake,Freddie Jackson,0.717,0.39,1,1,-14.879,0.0537,0.387,0.0,0.0607,0.657,143.965,432160
120,4vzcQG9LnS00DR6s2fSS3j,Tonight Is the Night - Live,Betty Wright,0.794,0.401,2,1,-17.484,0.0564,0.134,1.59e-05,0.838,0.87,101.584,498867
121,6jC4P4UddgJKz4MOdpYlOo,After The Pain,Betty Wright,0.611,0.478,0,1,-13.737,0.145,0.316,0.0,0.0677,0.742,171.288,420960
122,0lpIVCLNQRBKffcRRNrHyh,Freeway Of Love,Aretha Franklin,0.688,0.899,2,1,-6.328,0.0734,0.242,5.55e-06,0.0223,0.833,126.509,352093
123,5frTNUfeDGOHRo8Cc7ny9R,Pop Life,Prince,0.724,0.766,11,1,-12.28,0.0579,0.516,0.00959,0.409,0.642,100.611,225227
124,3Z2tPWiNiIpg8UMMoowHIk,We Are The World,U.S.A. For Africa,0.528,0.447,4,1,-15.255,0.0435,0.189,0.0,0.0745,0.292,72.58,427333
125,1cOj24fUMnBSXhtp7waHVW,"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",Dionne Warwick,0.673,0.286,8,1,-14.643,0.0313,0.294,0.0,0.086,0.199,120.117,256467
126,6IuoGXChH84tF9CT9PCN1h,Caravan of Love,"Isley, Jasper, Isley",0.665,0.502,7,1,-11.045,0.0258,0.586,0.0,0.19,0.81,88.295,341973
127,0sKfhhj6hYyJIXnTiZV9vf,The Sweetest Taboo,Sade,0.752,0.823,10,0,-9.455,0.0447,0.128,0.0098,0.303,0.962,91.563,277373
128,6N5DRCQUSXT1qQqmqsO92B,Party All the Time,Eddie Murphy,0.699,0.692,11,1,-13.045,0.0456,0.00979,0.000326,0.0427,0.677,135.03,253293
129,53pZ8y3yMYUNpclGwIufu0,Conga,Gloria Estefan,0.791,0.86,2,1,-8.282,0.0451,0.118,0.105,0.0614,0.906,122.3,255760
130,0Dm43YLUlGdePpSbI1ct8h,Part-Time Lover,Stevie Wonder,0.662,0.624,10,0,-13.606,0.0417,0.165,0.0,0.0674,0.961,174.513,252560
131,0JYn4TXQRZDXdtCvMfZGqf,Deep Inside Your Love,Ready For The World,0.594,0.147,3,1,-15.332,0.0299,0.098,4.34e-05,0.117,0.293,132.812,263533
132,2CMBjJ59FVIVDTeJvlkJCz,Saturday Love,Cherrelle,0.782,0.477,11,1,-14.22,0.0623,0.104,0.000138,0.0629,0.414,115.725,390600
133,3d6UefBBvhqHxJLZdm8scF,I Miss You,Klymaxx,0.553,0.345,5,1,-18.267,0.0342,0.499,0.0,0.252,0.305,139.562,333267
134,2lfokjWEMj3JGRoZWRpIWR,Hangin' On A String,Loose Ends,0.735,0.724,11,0,-9.587,0.0503,0.0383,0.0008,0.0637,0.861,104.953,351813
135,7gh2v4IHnxdiwSgA6xluhe,Through the Fire,Chaka Khan,0.563,0.593,8,1,-7.099,0.0322,0.192,1.85e-05,0.145,0.428,130.744,288653
136,62LJFaYihsdVrrkgUOJC05,Kiss,Prince,0.898,0.271,7,1,-12.238,0.091,0.0135,0.00138,0.0461,0.742,111.485,226240
137,79FPdsekcDp7RWK1IzClbr,Human,The Human League,0.622,0.445,8,1,-13.44,0.0261,0.0566,0.00189,0.0879,0.386,101.366,265293
138,4yCmtYi6veZS3FcH9lp4O7,Rumors,Timex Social Club,0.873,0.754,8,1,-6.286,0.0496,0.0377,0.0,0.053,0.556,106.33,288554
139,2SFq0UIiBWkBgky0fkrHP0,What Have You Done For Me Lately,Janet Jackson,0.846,0.396,1,1,-12.408,0.0677,0.0157,0.0116,0.0656,0.841,114.045,299493
140,6JYPFIVXYL3MkKfEfRSovu,Love You Down,Ready For The World,0.694,0.465,4,0,-6.911,0.0409,0.137,0.00218,0.0735,0.267,129.436,391210
141,0Aj8EagrPfDoOe5OlUdrLC,Candy,Cameo,0.705,0.709,11,0,-12.649,0.0489,0.119,1.69e-05,0.286,0.853,110.522,339933
142,7wQ9alB79WZb0F5gFLbxSh,Shake You Down,Gregory Abbott,0.787,0.474,11,0,-10.384,0.0265,0.523,0.0,0.235,0.826,94.995,245413
143,5HrVgmO1govSOrPUehW1VV,On My Own,Patti LaBelle,0.62,0.402,5,1,-12.964,0.0264,0.337,6.13e-05,0.312,0.483,92.093,290840
144,7FesdPPnPPE70f4Xyjv71H,The Rain,Oran Juice Jones,0.729,0.769,0,0,-15.838,0.0471,0.0186,2.73e-05,0.335,0.844,109.148,309400
145,1mP8BJQBRZWjSQLVmxQEyG,There'll Be Sad Songs (To Make You Cry),Billy Ocean,0.563,0.458,0,1,-7.673,0.0305,0.748,0.0,0.103,0.259,79.738,292680
146,4De6tTVXe0N3V0OPOmkvT3,Ain't Nothin' Goin' On But The Rent,Gwen Guthrie,0.793,0.681,10,0,-11.772,0.0825,0.084,0.00022,0.532,0.888,107.244,359560
147,6yJxCltgtmGxIgKOS6ndnu,Greatest Love of All,Whitney Houston,0.502,0.305,9,1,-16.011,0.0339,0.484,3.55e-06,0.117,0.248,131.242,291400
148,2p4WnpR3H16ywshkL2Fp1n,If Only for One Night,Luther Vandross,0.498,0.249,9,0,-13.619,0.0355,0.755,8.88e-06,0.0927,0.193,110.636,256240
149,17CdWjw8yiJrv9q5LOOCcv,Girlfriend,Bobby Brown,0.655,0.421,2,1,-12.564,0.0261,0.201,0.0,0.197,0.478,100.539,376360
150,0046quUYhSAFccrKIC3Iht,All Cried Out (with Full Force),Lisa Lisa & Cult Jam,0.48,0.435,1,1,-9.959,0.0305,0.207,5.83e-06,0.196,0.328,144.435,284973
151,5vywtoD7fO1CP0B2wtm6I6,Control,Janet Jackson,0.785,0.786,11,1,-12.487,0.0501,0.28,0.236,0.158,0.638,120.404,353307
152,2smHxX4ZmwamJ1Cu3BM3Os,Fool's Paradise,Meli'sa Morgan,0.748,0.499,5,0,-14.177,0.0648,0.127,0.000107,0.116,0.845,100.262,300733
153,2tEifcUedZAkWUnRB1O4E5,Come Share My Love,Miki Howard,0.598,0.531,6,1,-13.194,0.0378,0.201,0.0,0.0264,0.438,81.482,290533
154,5ygOH8xQGicxuxa43vSWwd,Caught Up In the Rapture,Anita Baker,0.593,0.506,2,1,-9.708,0.0263,0.412,3.99e-06,0.048,0.378,91.273,250267
155,0KCCNoVVXBatkTRvKOEf2t,I Can't Wait,Nu Shooz,0.851,0.574,5,0,-13.622,0.0703,0.078,0.0397,0.128,0.84,104.274,326507
156,3HNjLJb6VfoP0VC30TdxyE,As We Lay,Shirley Murdock,0.492,0.286,8,1,-12.118,0.0367,0.471,0.0,0.245,0.196,73.823,359000
